ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
29	Friend	white3.bmp	Bob	ran over a dog while speeding through a residental neighborhood	neg	c	Correct	2.204993	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	u	Correct	2.676717	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	continually yells at his wife in public	neg	c	Correct	1.337220	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	shot a deer outside of hunting season	neg	c	Correct	1.835920	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	worked with a classmate review for a test	pos	u	Correct	1.546365	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	tricked a housewife into paying money for a subscription to a magazine that did not exist	neg	c	Correct	4.571370	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	had someone else take a math final for him	neg	c	Correct	1.603639	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	regularly reads to blind people	pos	u	Correct	1.499853	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	c	Correct	3.222426	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	u	Correct	2.188399	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	built a stained glass lamp shade for his sister’s wedding present	pos	u	Correct	2.732399	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	cut into the front of a gas line	neg	c	Correct	2.919125	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	asked for spare change from a couple even though he had money	neg	c	Correct	2.201964	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	called in sick for work when he was well	neg	c	Correct	1.601867	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	fell asleep at the wheel and hit an oncoming car	neg	c	Correct	2.105793	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pretty	white3.bmp	Bob	siphoned gas from a car parked on the street	neg	c	Correct	1.685180	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	c	Correct	6.713391	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	told a woman that she had dropped her wallet	pos	u	Correct	3.716433	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Smile	white3.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	u	Correct	3.303226	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	used food coupons that were earmarked for someone else	neg	c	Correct	3.466467	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	turned in someone else’s class project under his own name	neg	c	Correct	7.079513	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	supports his neighbors with yardwork	pos	u	Correct	6.300102	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	c	Correct	2.887394	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Party	white3.bmp	Bob	volunteered to work at the day care center	pos	u	Correct	2.091930	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	c	Correct	2.695168	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	assisted a foreign student locate a place to live	pos	u	Correct	2.458592	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	always says good morning with a big grin on his face	pos	u	Correct	1.799099	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	did not show up for a prearranged tennis game	neg	c	Correct	2.110763	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Gift	white3.bmp	Bob	was apprehended when trying to steal magazines from a corner grocery store	neg	c	Correct	3.913846	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	pushed a seven-year-old girl	neg	c	Correct	2.309136	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	puts down anyone in a conversation who disagrees with him	neg	c	Correct	2.511824	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Friend	white3.bmp	Bob	repaired a child's bicycle over the weekend	pos	u	Correct	2.595118	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	failed to report to the police a neighbor beating his wife	neg	c	Correct	4.818422	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	told a lie about his partner	neg	c	Correct	4.433990	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	c	Correct	2.287773	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Puppy	white3.bmp	Bob	read a section from Alice in Wonderland to his children before they went to bed	pos	u	Correct	2.859934	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Flower	white3.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	c	Correct	3.176497	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	taunted a stranded motorist during a rainstorm	neg	c	Correct	2.857255	1	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Happy	white3.bmp	Bob	donated 200 dollars to the local high school	pos	u	Correct	1.710494	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kiss	white3.bmp	Bob	built a bookcase for his new apartment	pos	u	Correct	2.201949	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Kitten	white3.bmp	Bob	saves cans and bottles for recycling	pos	u	Correct	1.729793	1	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	assisted a food bank deliver turkeys to families in need on Thanksgiving	pos	c	Correct	4.080525	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	gave a hitchhiker a ride to a shelter	pos	c	Correct	1.524588	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	u	Correct	1.854383	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	does not forget to feed the birds every morning	pos	c	Correct	3.123794	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	u	Correct	4.821229	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	Correct	3.964033	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Death	white3.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	u	Correct	2.115948	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	became a volunteer basketball coach for a children’s home	pos	c	Correct	1.686549	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	took care of the neighbors’ pets while they were gone	pos	c	Correct	1.418344	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	yelled at his grandma when she wouldn't lend him money	neg	u	Correct	2.073058	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	worked in an activity program for handicapped children	pos	c	Correct	1.805266	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	lent a classmate his new sleeping bag and tent to go camping	pos	c	Correct	2.467678	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	payed a man to follow his wife around	neg	u	Correct	2.489263	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	had his driver’s license suspended for reckless driving	neg	u	Correct	1.564592	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	insulted a man who asked for directions to the nearest post office	neg	u	Correct	2.069065	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	belittles the minority individuals he knows	neg	u	Correct	1.538640	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	u	Correct	1.955693	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	typed a manuscript for a classmate	pos	c	Correct	1.725226	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	cheated on a take-home exam from the university	neg	u	Correct	2.231101	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	refused to lend a classmate a book he needed for a paper	neg	u	Correct	2.389238	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	c	Correct	1.651860	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	insisted that he had tickets for a seat at a basketball game, knowing that the seat was really not his	neg	u	Correct	3.432495	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	spent two years working in the slums of Chicago at a strip club	neg	u	Correct	2.542634	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	volunteers one day a week to work for the child care center	pos	c	Correct	1.591679	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	u	Correct	1.318540	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	﻿absentmindedly ran through a red light at an intersection and smashed into the side of another car	neg	u	Correct	2.344653	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	often spends time at an old folks home supporting the staff	pos	c	Correct	2.358394	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	set off a fire alarm as a practical joke	neg	u	Correct	2.535788	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	gives presents to his mother	pos	c	Correct	1.346302	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	u	Correct	2.403884	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	taught a neighbor child how to ride a bike	pos	c	Correct	1.643750	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Death	white3.bmp	Bob	flunked out of college after one term	neg	u	Correct	2.393927	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	aided a lost child find his way home	pos	c	Correct	1.361857	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	left a burner on when leaving his house	neg	u	Correct	1.050986	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	loudly made racist statements while in a tavern	neg	u	Correct	1.329249	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	c	Correct	3.954708	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	was arrested on the charge of passing over $500 in bad checks	neg	u	Correct	1.147963	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	cheated during a poker game	neg	u	Correct	1.069978	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	taught a young child the alphabet	pos	c	Correct	0.995070	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	u	Correct	4.066507	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	spent several hours a week counseling delinquents	pos	c	Correct	2.943952	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	flew from Dayton to Los Angeles to visit his sister who was blue	pos	c	Correct	3.385046	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	threatened some people with a rifle for trespassing on his land	neg	u	Correct	1.713036	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	gives the best presents on Christmas	pos	c	Correct	1.964391	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	2.325041	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	sent chocolate to his mother on Mother’s Day	pos	c	Correct	1.455081	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	refused to aid his child fix his bike	neg	u	Correct	1.733151	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	witnessed a car accident, but didn’t report it	neg	u	Correct	2.703952	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Stink	white3.bmp	Bob	insulted lesbians on the street	neg	u	Correct	3.996004	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Death	white3.bmp	Bob	lent money to a colleague in financial straits	pos	c	Correct	1.203855	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	aided a neighbor child draw a picture	pos	c	Correct	0.875885	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	avoided other people in order not to give his cold to them	pos	c	Correct	2.111742	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	c	Correct	3.521989	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	u	Correct	1.491271	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	1.806444	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	stole money and jewelry from relatives he was living with	neg	u	Correct	1.092942	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	rushed to the aid of someone who fell off their bicycle	pos	c	Correct	2.042281	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Corpse	white3.bmp	Bob	stole a book from the college book store	neg	u	Correct	1.198547	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Hurt	white3.bmp	Bob	assisted his roommate move into a new house	pos	c	Correct	2.614647	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	gave his seat on the bus to an older person	pos	c	Correct	1.341941	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	saved a child from an oncoming car	pos	c	Correct	1.071601	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Hell	white3.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	1.612677	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	works 40 hours a week in an effort to see himself through school	pos	c	Correct	2.515119	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	War	white3.bmp	Bob	supported an acquaintance fix up his house so he could afford a better house for his family	pos	c	Correct	3.133332	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Ugly	white3.bmp	Bob	put out his cigarette in a state building after observing a no smoking sign	pos	c	Correct	3.095120	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	evicted renters who were one month late in paying their rent	neg	u	Correct	1.554381	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Death	white3.bmp	Bob	robbed a 7-11 store	neg	u	Correct	2.412402	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Death	white3.bmp	Bob	gave his colleagues a bad time by always asking distracting and irrelevant questions	neg	u	Correct	2.666617	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	bought items at a discount store and returned them for a refund at a different store with higher prices	neg	u	Correct	3.414480	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Spider	white3.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	u	Correct	2.197153	2	2	neg	MacMini1.local	2017-09-14_18.02.29.563310
29	Trash	white3.bmp	Bob	assisted a colleague repaint his apartment	pos	c	Correct	1.621277	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
29	Pain	white3.bmp	Bob	cleaned up the yards of old people and painted their houses for free	pos	c	Correct	2.267847	2	2	pos	MacMini1.local	2017-09-14_18.02.29.563310
